eine Entscheidung treffen;Ich muss heute eine Entscheidung treffen.<br><br>ухвалювати рішення<br><br>Я маю прийняти рішення сьогодні.
aufhören mit;mit + D<br><br>hört auf<br>hat aufgehört<br>hörte auf<br><br>Ich höre jetzt mit dieser Arbeit auf.<br><br>припиняти<br><br>Я припиняю зараз цю роботу!<br><br>hören - слухати
sich beeilen;A<br><br>beeilt sich<br>hat sich beeilt<br>beeilte sich<br><br>Bitte beeile dich, wir sind spät dran.<br><br>поспішати<br><br>Будь ласка, поспішай, ми спізнюємось.
laufen;-<br><br>läuft<br>ist gelaufen<br>lief<br><br>Der kleine Hund läuft schnell.<br><br>бігти<br><br>Маленький собака біжить швидко.
Hund;der<br><br>Hunde<br><br>Der Hund bellt laut.<br>Ich streichle den Hund.<br><br>собака<br><br>Собака голосно гавкає.<br>Я гладжу собаку.
klein;groß<br><br>Der kleine Hund ist klein.<br><br>малий / великий<br><br>Малий собака маленький.
schnell;Der Hund läuft schnell.<br><br>швидко<br><br>Собака біжить швидко.
wie;Wie ist das Wetter heute?<br><br>який<br><br>Яка сьогодні погода?
warten auf;auf + A<br><br>wartet<br>hat gewartet<br>wartete<br><br>Ich warte auf den Bus.<br><br>чекати на<br><br>Я чекаю на автобус.
ein Konto eröffnen;Ich möchte bei der Bank ein Konto eröffnen.<br><br>відкривати рахунок<br><br>Я хочу відкрити рахунок у банку.
Geld abheben;Am Automaten kann man rund um die Uhr Geld abheben.<br><br>знімати гроші<br><br>У банкоматі можна знімати гроші цілодобово.
Geld einzahlen;Können Sie mir zeigen, wie ich Geld einzahlen kann?<br><br>вносити гроші<br><br>Чи можете показати, як внести гроші?
eine Frage stellen;Darf ich Ihnen eine Frage stellen?<br><br>ставити запитання<br><br>Чи можна поставити вам запитання?
in Raten zahlen;Ich möchte das Sofa gern in Raten zahlen.<br><br>платити частинами<br><br>Я хочу оплачувати диван частинами.
Zinsen zahlen;Bei diesem Kredit muss man hohe Zinsen zahlen.<br><br>сплачувати відсотки<br><br>За цим кредитом треба платити високі відсотки.
eine EC-Karte bekommen;Herr Marzouki möchte eine EC-Karte bekommen.<br><br>отримати картку<br><br>Пан Марзукі хоче отримати картку.
abheben von;von + D<br><br>hebt ab<br>hat abgehoben<br>hob ab<br><br>Sie hebt heute 100 Euro von ihrem Konto ab.<br><br>знімати<br><br>Вона сьогодні зняла 100 євро зі свого рахунку.<br><br>heben - піднімати
einzahlen auf;auf + A<br><br>zahlt ein<br>hat eingezahlt<br>zahlte ein<br><br>Er zahlt das Geld auf sein Konto ein.<br><br>вносити<br><br>Він вносить гроші на свій рахунок.<br><br>zahlen - платити
ausfüllen;-<br><br>füllt aus<br>hat ausgefüllt<br>füllte aus<br><br>Bitte füllen Sie das Formular aus.<br><br>заповнювати<br><br>Будь ласка, заповніть форму.<br><br>füllen - наповнювати
nachsehen;nach + D<br><br>sieht nach<br>hat nachgesehen<br>sah nach<br><br>Könnten Sie mal nachsehen, ob das Formular vollständig ist?<br><br>перевірити<br><br>Чи могли б ви перевірити, чи форма повна?<br><br>sehen - бачити
aufpassen auf;auf + A<br><br>passt auf<br>hat aufgepasst<br>passte auf<br><br>Pass auf deine Geheimzahl auf.<br><br>стежити<br><br>Слідкуй за своєю пін-кодом.<br><br>passen - пасувати
ankreuzen;-<br><br>kreuzt an<br>hat angekreuzt<br>kreuzte an<br><br>Kreuzen Sie bitte das richtige Kästchen an.<br><br>позначати хрестиком<br><br>Позначте, будь ласка, правильний квадратик.<br><br>kreuzen - перехрещувати
abholen;-<br><br>holt ab<br>hat abgeholt<br>holte ab<br><br>Holst du mich vom Bahnhof ab?<br><br>зустріти<br><br>Ти зустрінеш мене на вокзалі?<br><br>holen - брати
sich ärgern über;über + A<br><br>ärgert sich<br>hat sich geärgert<br>ärgerte sich<br><br>Sie ärgert sich über die falsche Abbuchung.<br><br>сердитися<br><br>Вона сердиться через неправильне списання.
sich erinnern an;an + A<br><br>erinnert sich<br>hat sich erinnert<br>erinnerte sich<br><br>Er erinnert sich nicht an seine Kontonummer.<br><br>пам'ятати<br><br>Він не пам'ятає свій номер рахунку.
sich auskennen mit;mit + D<br><br>kennt sich aus<br>hat sich ausgekannt<br>kannte sich aus<br><br>Ich kenne mich mit Online-Banking nicht aus.<br><br>розбиратися<br><br>Я не розбираюся в онлайн-банкінгу.
sich freuen über;über + A<br><br>freut sich<br>hat sich gefreut<br>freute sich<br><br>Die Kinder freuen sich über das Eis.<br><br>радіти<br><br>Діти радіють морозиву.
sich interessieren für;für + A<br><br>interessiert sich<br>hat sich interessiert<br>interessierte sich<br><br>Interessierst du dich für Aktien?<br><br>цікавитися<br><br>Ти цікавишся акціями?
zahlen;A<br><br>zahlt<br>hat gezahlt<br>zahlte<br><br>Man kann bar oder mit Karte zahlen.<br><br>платити<br><br>Можна платити готівкою або карткою.
sparen;A<br><br>spart<br>hat gespart<br>sparte<br><br>Ich spare jeden Monat etwas Geld.<br><br>економити<br><br>Я щомісяця відкладаю трохи грошей.
öffnen;A<br><br>öffnet<br>hat geöffnet<br>öffnete<br><br>Die Bank öffnet um acht Uhr.<br><br>відкривати<br><br>Банк відкривається о восьмій.
