Front,Back,Tags
Abbuchung,"die Abbuchung, Abbuchungen, списання коштів<br><br>Die Abbuchung erfolgt automatisch. – Списання відбувається автоматично.<br><br>die Buchung – бронювання<br><br>stornieren – анулювати; prüfen – перевіряти; durchführen – виконувати<br><br>abbuchen – списувати кошти; buchen – бронювати<br><br>die Lastschrift – пряме списання; die Zahlung – платіж",Nomen
Abend,"der Abend, Abende, вечір<br><br>Der Abend ist ruhig. – Вечір спокійний.<br><br><br>verbringen – проводити; genießen – насолоджуватися; beginnen – починатися<br><br><br>die Dämmerung – сутінки; der Abendteil – вечірня частина дня",13LeseverstehenZumPräteritum Nomen
Abendbrot,"das Abendbrot, Abendbrote, вечеря<br><br>Wir essen heute zum Abendbrot Brot und Käse. – Сьогодні на вечерю ми їмо хліб і сир.<br><br>der Abend – вечір; das Brot – хліб<br><br>essen – їсти; zubereiten – готувати; servieren – подавати<br><br><br>das Abendessen – вечеря",13LeseverstehenZumPräteritum Nomen
Abenteuer,"das Abenteuer, Abenteuer, пригода<br><br>Ich erlebte ein spannendes Abenteuer. – Я пережив захоплюючу пригоду.<br><br>unternehmen – здійснювати; erleben – переживати; suchen – шукати; beginnen – починати<br><br>abbauen – руйнувати; begehen – вчиняти<br><br>die Unternehmung – підприємство; die Erlebnistour – пригодницька подорож",Buch5 Folge2 Nomen
Ablautgruppe,"die Ablautgruppe, Ablautgruppen, група аблаута (зміни голосного у відміні дієслів)<br><br>Die Ablautgruppe der starken Verben ist wichtig. – Група аблаута сильних дієслів є важливою.<br><br>erklären – пояснювати; lernen – вивчати; unterscheiden – розрізняти; anwenden – застосовувати<br><br>ableiten – відводити; verändern – змінювати<br><br>die Lautveränderung – зміна голосного; die Formenbildung – формоутворення",7DasPräteritumDerUnregelmäßigenVerben Nomen
Abstand,"der Abstand, Abstände, відстань<br><br>Halte bitte einen Abstand von einem Meter. – Тримай, будь ласка, відстань один метр.<br><br>messen – вимірювати; vergrößern – збільшувати; wahren – зберігати; überbrücken – долати<br><br>die Entfernung – відстань; die Distanz – дистанція",7DasPräteritumDerUnregelmäßigenVerben Nomen
Angebot,"das Angebot, Angebote, пропозиція<br><br>Das Angebot im Supermarkt ist groß. – Пропозиція в супермаркеті велика.<br><br>einholen – отримувати; erstellen – складати; vergleichen – порівнювати; ablehnen – відхиляти<br><br>die Offerte – оферта; die Auswahl – вибір",Nomen
Apfel,"der Apfel, Äpfel, яблуко<br><br>Ich esse einen Apfel. – Я їм яблуко.<br><br>pflücken – збирати; essen – їсти; schneiden – різати; pressen – віджимати<br><br>die Frucht – фрукт; die Apfelfrucht – яблучний плід",13LeseverstehenZumPräteritum Nomen
Arbeit,"die Arbeit, Arbeiten, робота<br><br>Er sucht eine neue Arbeit. – Він шукає нову роботу.<br><br>finden – знаходити; erledigen – виконувати; wechseln – змінювати; planen – планувати<br><br>der Job – робота; die Beschäftigung – зайнятість",Nomen
Arbeitsblatt,"das Arbeitsblatt, Arbeitsblätter, робочий аркуш<br><br>Die Lehrerin verteilt das Arbeitsblatt. – Вчителька роздає робочий аркуш.<br><br>der Arbeit – робота; das Blatt – аркуш<br><br>bearbeiten – обробляти; verteilen – роздавати; ausfüllen – заповнювати<br><br>das Übungsblatt – аркуш із вправами",7DasPräteritumDerUnregelmäßigenVerben Nomen
