Front,Back,Tags
abbezahlen,"bezahle - bezahlst - bezahlt - bezahlen - bezahlt - bezahlen<br><br>bezahlte - bezahltest - bezahlte - bezahlten - bezahltet - bezahlten<br><br>man hat abbezahlt<br><br>A<br><br>погашати<br><br>bezahle den Kredit ab. = Я погашаю кредит.<br><br>bezahlen - платити<br><br>einzahlen - вносити<br>auszahlen - виплачувати<br><br>tilgen - погашати",Verb
abfahren,"fahre - fährst - fährt - fahren - fahrt - fahren<br><br>fuhr - fuhrst - fuhr - fuhren - fuhrt - fuhren<br><br>man ist abgefahren<br><br><br><br>відправлятися<br><br>fahre morgen um acht Uhr ab. = Я відправляюсь завтра о восьмій.<br><br>fahren - їхати<br><br>anfahren - починати рух<br>einfahren - заїжджати<br><br>losfahren - вирушати<br>aufbrechen - вирушати",Verb
serinnern an,"erinnere - erinnerst - erinnert - erinnern uns - erinnert euch - erinnern sich<br><br>erinnerte - erinnertes - erinnerte - erinnerten uns - erinnertet euch - erinnerten sich<br><br>man hat serinnert<br><br>A<br><br>пригадувати<br><br>Wir erinnern uns an den Urlaub. = Ми згадуємо відпустку.<br><br><br><br>gedenken - згадувати<br>szurückerinnern - знову пригадувати",Verb
abhängen,"hänge ab - hängst ab - hängt ab - hängen ab - hängt ab - hängen ab<br><br>hing ab - hingst ab - hing ab - hingen ab - hingt ab - hingen ab<br><br>man hat abgehangen<br><br><br><br>зависати (у компанії)<br><br>Wir hängen heute Abend ab. = Ми тусуємося сьогодні ввечері.<br><br><br><br>abhängen von - залежати від<br>aufhängen - вішати<br><br>chillen - перекидати час без діла",Slang Verb
abhängen von,"hänge ab von - hängst ab von - hängt ab von - hängen ab von - hängt ab von - hängen ab von<br><br>hing ab von - hingst ab von - hing ab von - hingen ab von - hingt ab von - hingen ab von<br><br>man hat abgehangen von<br><br>D+A<br><br>залежати від<br><br>Sie hängt sehr von ihrer Familie ab. = Вона дуже залежить від своєї родини.<br><br><br><br>abhängen - тусуватися<br>aufhängen - вішати<br><br>ankommen auf - залежати від",Verb VerbMitFestenPraposition
abhauen,"haue ab - haust ab - haut ab - hauen ab - haut ab - hauen ab<br><br>haute ab - hautest ab - haute ab - hauten ab - hautet ab - hauten ab<br><br>man ist abgehauen<br><br><br><br>втікати<br><br>haue morgen früh ab. = Я втікну завтра зранку.<br><br><br><br>fliehen - тікати<br>verschwinden - зникати",Slang Verb
abheben,"hebe ab - hebst ab - hebt ab - heben ab - hebt ab - heben ab<br><br>hob ab - hobst ab - hob ab - hoben ab - hobt ab - hoben ab<br><br>man hat abgehoben<br><br><br><br>знімати (гроші); злітати<br><br>Er hebt 100 Euro ab. = Він знімає 100 євро.<br><br><br><br>aufheben - піднімати<br>abheben (Flugzeug) - злітати",Verb
abholen,"hole ab - holst ab - holt ab - holen ab - holt ab - holen ab<br><br>holte ab - holtest ab - holte ab - holten ab - holtet ab - holten ab<br><br>man hat abgeholt<br><br>D+A<br><br>забирати<br><br>hole dam Bahnhof ab. = Я заберу тебе на вокзалі.<br><br><br><br>abliefern - доставляти<br>abgeben - віддавати<br><br>abbringen - відмовляти",leech Mainstream Verb
abkühlen,"kühle ab - kühlst ab - kühlt ab - kühlen ab - kühlt ab - kühlen ab<br><br>kühlte ab - kühltest ab - kühlte ab - kühlten ab - kühltet ab - kühlten ab<br><br>man hat abgekühlt<br><br><br><br>остигати<br><br>Der Kaffee kühlt ab. = Кава остигає.<br><br><br><br>kühlen - охолоджувати<br>abkühlen lassen - давати охолонути",Gym Verb
ablehnen,"lehne ab - lehnst ab - lehnt ab - lehnen ab - lehnt ab - lehnen ab<br><br>lehnte ab - lehntest ab - lehnte ab - lehnten ab - lehntet ab - lehnten ab<br><br>man hat abgelehnt<br><br><br><br>відмовлятися<br><br>lehne das Angebot ab. = Я відхиляю цю пропозицію.<br><br><br><br>akzeptieren - приймати<br>ablehnen - відкидати",Buch5 Folge2 Verb
